"cell_chembl_id","cell_description","cell_id","cell_name","cell_source_organism","cell_source_tax_id","cell_source_tissue","cellosaurus_id","cl_lincs_id","clo_id","efo_id"
"CHEMBL3307726","Astrocytes","735","Astrocytes","","","Astrocytes","","","",""
"CHEMBL3307727","Y-1 (Adrenocortical cells)","736","Y-1","Mus musculus","10090","Adrenocortical cells","CVCL_0585","","CLO_0009701",""
"CHEMBL3307728","MEXF514 (Xenograft melanoma cells)","737","MEXF514","Homo sapiens","9606","Xenograft melanoma cells","CVCL_D129","","",""
"CHEMBL3307729","RH7777 (Hepatoma cells)","738","RH7777","Rattus norvegicus","10116","Hepatoma cells","CVCL_0444","","CLO_0007595",""
"CHEMBL3307730","RIF-1 (Radiation-induced fibrosarcoma cells)","739","RIF-1","Mus musculus","10090","Radiation-induced fibrosarcoma cells","CVCL_H611","","",""
"CHEMBL3307731","RKO (Colon carcinoma)","740","RKO","Homo sapiens","9606","Colon carcinoma","CVCL_0504","LCL-1168","CLO_0008825","EFO_0001232"
"CHEMBL3307732","RPMI-8226 (Multiple myeloma cells)","741","RPMI-8226","Homo sapiens","9606","Multiple myeloma cells","CVCL_0014","","CLO_0008873","EFO_0002322"
"CHEMBL3307733","RPTEC (Renal proximal tubule epithelial cells)","742","RPTEC","Homo sapiens","9606","Renal proximal tubule epithelial cells","","","",""
"CHEMBL3307734","RXF 393 (Renal carcinoma cells)","743","RXF 393","Homo sapiens","9606","Renal carcinoma cells","CVCL_1673","","",""
"CHEMBL3307735","RXF 631 (Renal carcinoma cells)","744","RXF 631","Homo sapiens","9606","Renal carcinoma cells","CVCL_A780","","",""
"CHEMBL3307736","SACC-LM (Salivary adenoid cystic carcinoma cells)","745","SACC-LM","Homo sapiens","9606","Salivary adenoid cystic carcinoma cells","CVCL_H590","","",""
"CHEMBL3307737","SAOS-2 (Osteosarcoma cells)","746","SAOS-2","Homo sapiens","9606","Osteosarcoma cells","CVCL_0548","LCL-1430","CLO_0008947",""
"CHEMBL3307738","SF-295 (Glioblastoma cells)","747","SF-295","Homo sapiens","9606","Glioblastoma cells","CVCL_1690","","","EFO_0005452"
"CHEMBL3307739","SGC-7901 (Gastric carcinoma cells)","748","SGC-7901","Homo sapiens","9606","Gastric carcinoma cells","CVCL_0520","","",""
"CHEMBL3307740","SH-SY5Y (Bone marrow neuroblastoma cells)","749","SH-SY5Y","Homo sapiens","9606","Bone marrow neuroblastoma cells","CVCL_0019","","CLO_0009015","EFO_0002717"
"CHEMBL3307741","SK_HEP1 (Hepatoma cells)","750","SK-HEP1","Homo sapiens","9606","Hepatoma cells","CVCL_0525","","CLO_0009037",""
"CHEMBL3307742","SK-MEL (Melanoma cells)","751","SK-MEL","Homo sapiens","9606","Melanoma cells","","","",""
"CHEMBL3308365","SK-MEL-1 (Metastatic melanoma cells)","752","SK-MEL-1","Homo sapiens","9606","Metastatic melanoma cells","CVCL_0068","LCL-1265","CLO_0009040","EFO_0002332"
"CHEMBL3307743","SK-MEL-2 (Melanoma cells)","753","SK-MEL-2","Homo sapiens","9606","Melanoma cells","CVCL_0069","LCL-1256","CLO_0009041","EFO_0002079"
"CHEMBL3308494","SK-MEL-28 (Melanoma cells)","754","SK-MEL-28","Homo sapiens","9606","Melanoma cells","CVCL_0526","","CLO_0009043","EFO_0003081"
"CHEMBL3307744","SK-MEL-5 (Melanoma cells)","755","SK-MEL-5","Homo sapiens","9606","Melanoma cells","CVCL_0527","LCL-1282","CLO_0009047","EFO_0002080"
"CHEMBL3307745","SK-N-SH (Neuroblastoma cells)","756","SK-N-SH","Homo sapiens","9606","Neuroblastoma cells","CVCL_0531","LCL-1971","CLO_0009059","EFO_0003072"
"CHEMBL3307746","SK-OV-3 (Ovarian carcinoma cells)","757","SK-OV-3","Homo sapiens","9606","Ovarian carcinoma cells","CVCL_0532","LCL-1517","CLO_0009063","EFO_0002340"
"CHEMBL3307747","SNU-638 (Gastric carcinoma cells)","758","SNU-638","Homo sapiens","9606","Gastric carcinoma cells","CVCL_0102","","",""
"CHEMBL3307748","SV3T3 (SV40-transformed 3T3 fibroblast cells)","759","SV3T3","Mus musculus","10090","SV40-transformed 3T3 fibroblast cells","","","CLO_0009165",""
"CHEMBL3308812","PA-1 (Ovarian carcinoma cells)","761","PA-1","Homo sapiens","9606","Ovarian carcinoma cells","CVCL_0479","LCL-1416","CLO_0008350",""
"CHEMBL3308429","BRISTOL8 (B-lymphoblastoid cells)","762","BRISTOL8","Homo sapiens","9606","B-lymphoblastoid cells","CVCL_2318","","CLO_0002028",""
"CHEMBL3307750","NCI-H23 (Non-small cell lung carcinoma cells)","763","NCI-H23","Homo sapiens","9606","Non-small cell lung carcinoma cells","CVCL_1547","LCL-1619","CLO_0008071","EFO_0002286"
"CHEMBL3307751","H227 (Hepatomaa cells)","764","H22","Mus musculus","10090","Hepatoma cells","CVCL_H613","","",""
"CHEMBL3307752","NSO (Myeloma cells)","765","NSO","Mus musculus","10090","Myeloma cells","CVCL_3940","","CLO_0008206",""
"CHEMBL3307753","DOV13 (Ovarian carcinoma cells)","766","DOV13","Homo sapiens","9606","Ovarian carcinoma cells","CVCL_6774","","",""
"CHEMBL3307754","Panel ovarian (Carcinoma cell lines)","767","Panel ovarian (Carcinoma cell lines)","Homo sapiens","9606","Carcinoma cell lines","","","",""
"CHEMBL3307755","TERT-RPE1 (Retinal pigmented epithelial cells)","768","TERT-RPE1","Homo sapiens","9606","Retinal pigmented epithelial cells","CVCL_4388","","",""
"CHEMBL3308478","TS/A (Mammary adenocarcinoma cells)","769","TS/A","Mus musculus","10090","Mammary adenocarcinoma cells","CVCL_F736","","CLO_0009405",""
"CHEMBL3307756","U-251 (Glioma cells)","770","U-251","Homo sapiens","9606","Brain glioma cells","CVCL_0021","","CLO_0009456",""
"CHEMBL3307757","U2OS (Osteosarcoma cells)","771","U2OS","Homo sapiens","9606","Osteosarcoma cells","CVCL_0042","LCL-1431","CLO_0009454","EFO_0002869"
"CHEMBL3307758","SW480 (Colon adenocarcinoma cells)","773","SW480","Homo sapiens","9606","Colon adenocarcinoma cells","CVCL_0546","","CLO_0009218","EFO_0002083"
"CHEMBL3308496","JM1 (B-cell leukemia cells)","774","JM1","Homo sapiens","9606","B-cell leukemia cells","CVCL_3532","LCL-1947","CLO_0007030","EFO_0002212"
"CHEMBL3307759","L cells (Fibroblasts)","775","L cells","Mus musculus","10090","Fibroblasts","CVCL_0462","","CLO_0007138",""
"CHEMBL3307760","NCI-H446 (Small cell lung carcinoma cells)","776","NCI-H446","Homo sapiens","9606","Small cell lung carcinoma cells","CVCL_1562","LCL-1855","CLO_0008088","EFO_0002293"
